id,category,source_id,product_type,dim_x_m,dim_y_m,dim_z_m,faces,glb_size_mb,license,source
cabinet_B07B4VXZZC,cabinet,B07B4VXZZC,DRESSER,1.049,0.986,0.463,31966,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B072MF4SHR,cabinet,B072MF4SHR,STORAGE_RACK,1.524,1.981,0.61,63982,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B071SHBTM5,cabinet,B071SHBTM5,DRESSER,0.964,1.32,0.516,6272,3.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B075YZYJQN,cabinet,B075YZYJQN,DRESSER,0.761,1.24,0.479,16872,3.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFDZWMS,cabinet,B07GFDZWMS,CABINET,0.75,1.28,0.25,2562,3.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07GFS1VB6,cabinet,B07GFS1VB6,CABINET,1.78,1.96,0.629,7880,3.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B074KN35K2,cabinet,B074KN35K2,CABINET,0.607,0.695,0.41,33526,3.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
cabinet_B07B8FHTJ4,cabinet,B07B8FHTJ4,CABINET,0.489,0.59,0.184,4824,3.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07GFWW5JZ,desk,B07GFWW5JZ,DESK,1.6,0.75,0.802,792,0.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07GFFQZRQ,desk,B07GFFQZRQ,DESK,0.9,0.729,0.498,768,0.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07GFQ4D3J,desk,B07GFQ4D3J,DESK,0.898,0.73,0.482,1740,0.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B06XZV3F8F,desk,B06XZV3F8F,DESK,1.015,0.747,0.505,7184,0.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07HSCYS4C,desk,B07HSCYS4C,DESK,1.313,0.762,0.589,4234,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07TN2RZPW,desk,B07TN2RZPW,DESK,1.524,0.753,1.2,3664,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B079HYXWPC,desk,B079HYXWPC,DESK,0.979,0.723,0.491,7452,0.7,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075X25BYC,desk,B075X25BYC,DESK,1.178,0.614,1.186,15688,0.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07JGMW8DL,desk,B07JGMW8DL,DESK,1.58,0.76,0.67,13536,0.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07QWZDK9S,desk,B07QWZDK9S,DESK,0.94,0.818,0.926,7464,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07K6N5FVX,desk,B07K6N5FVX,DESK,1.2,0.76,0.55,28576,1.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07K7663DW,desk,B07K7663DW,DESK,0.85,1.19,0.39,22934,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z8629F,desk,B075Z8629F,DESK,0.608,0.616,0.66,7788,1.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075ZBW1SN,desk,B075ZBW1SN,DESK,1.277,0.758,0.612,5494,1.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07R7W7ZMP,desk,B07R7W7ZMP,DESK,0.99,0.762,0.497,2972,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z7HQK5,desk,B075Z7HQK5,DESK,1.066,0.785,0.418,10422,1.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07HSJDN75,desk,B07HSJDN75,DESK,1.069,0.761,0.409,1134,1.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075ZBVZST,desk,B075ZBVZST,DESK,1.256,0.8,0.486,8426,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B01DJH742M,desk,B01DJH742M,DESK,0.404,0.73,0.6,6804,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B077HZ23BG,desk,B077HZ23BG,DESK,0.75,1.28,0.25,2562,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z93NKX,desk,B075Z93NKX,DESK,0.814,0.981,0.462,9210,2.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7DL32P,desk,B07B7DL32P,DESK,1.575,0.762,0.724,8082,2.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z93NK8,desk,B075Z93NK8,DESK,1.803,0.762,0.688,18840,2.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z7HQHY,desk,B075Z7HQHY,DESK,1.803,0.76,0.688,15968,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07HSKSN5C,desk,B07HSKSN5C,DESK,0.982,1.809,0.515,13272,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z8KXDK,desk,B075Z8KXDK,DESK,1.538,0.753,0.617,7340,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7GXKCN,desk,B07B7GXKCN,DESK,1.577,1.031,0.734,25124,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7DFS3S,desk,B07B7DFS3S,DESK,1.543,0.725,0.784,12256,2.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7DL3GX,desk,B07B7DL3GX,DESK,1.499,0.762,0.813,14520,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B00QQNFJYC,desk,B00QQNFJYC,DESK,0.762,0.8,0.549,3463,2.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B079HXWXXD,desk,B079HXWXXD,DESK,0.979,0.723,0.491,7452,2.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07GFWF2GM,desk,B07GFWF2GM,DESK,1.099,0.729,0.557,660,2.5,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7DKRW4,desk,B07B7DKRW4,DESK,1.289,0.861,0.63,36650,2.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z6YS29,desk,B075Z6YS29,DESK,1.2,0.854,0.565,13482,2.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07PYT7NZ9,desk,B07PYT7NZ9,DESK,0.902,0.75,0.498,9120,2.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z8KXG7,desk,B075Z8KXG7,DESK,1.479,0.762,0.684,13142,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07GFLD8VP,desk,B07GFLD8VP,DESK,0.893,0.724,0.498,768,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07GFLD57T,desk,B07GFLD57T,DESK,1.6,0.75,0.802,812,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07GFWLSS4,desk,B07GFWLSS4,DESK,0.893,0.724,0.498,768,2.9,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B074L4976T,desk,B074L4976T,DESK,1.6,0.752,0.802,812,3.0,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075Z93NHP,desk,B075Z93NHP,DESK,1.567,0.751,0.685,15714,3.1,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07HSCN9RM,desk,B07HSCN9RM,DESK,1.204,0.917,0.384,5804,3.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07QTKCKVB,desk,B07QTKCKVB,DESK,0.94,0.986,0.94,14052,3.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B075X41RLD,desk,B075X41RLD,DESK,1.346,0.737,1.346,32670,4.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07K6PVP52,desk,B07K6PVP52,DESK,0.877,0.763,0.475,86296,4.2,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7DL32H,desk,B07B7DL32H,DESK,0.906,1.88,0.348,35062,4.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7DMLPL,desk,B07B7DMLPL,DESK,1.59,0.751,0.711,66560,4.8,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07QJJXBV8,desk,B07QJJXBV8,DESK,0.991,0.66,0.498,24624,5.3,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07B7DFR8X,desk,B07B7DFR8X,DESK,1.289,0.912,0.61,60832,5.6,CC-BY-4.0,Amazon Berkeley Objects (ABO)
desk_B07QB6C9R8,desk,B07QB6C9R8,DESK,0.991,0.66,0.499,5340,6.4,CC-BY-4.0,Amazon Berkeley Objects (ABO)
